qid,question,answer,qid,question,answer,concepts,numbers,units,relations
161,"monir is taking a blood purifying treatment which is expensive and time consuming.
which one may occur in monir's body?",increasing the level of lipid in blood,161,"monir is taking a blood purifying treatment which is expensive and time consuming.
which one may occur in monir's body?",increasing the level of lipid in blood,"['lipid', 'treatment', 'time', 'blood', 'increase', 'consume', 'take', 'occur', 'monir', 'level', 'expensive', 'purify', 'body']",['one'],['m'],[]
161,"monir is taking a blood purifying treatment which is expensive and time consuming.
which one may occur in monir's body?",increasing the level of creatinine,161,"monir is taking a blood purifying treatment which is expensive and time consuming.
which one may occur in monir's body?",increasing the level of creatinine,"['treatment', 'time', 'blood', 'increase', 'consume', 'take', 'occur', 'monir', 'level', 'expensive', 'purify', 'body', 'creatinine']",['one'],['m'],[]
161,"monir is taking a blood purifying treatment which is expensive and time consuming.
which one may occur in monir's body?",increasing the level of blood sugar,161,"monir is taking a blood purifying treatment which is expensive and time consuming.
which one may occur in monir's body?",increasing the level of blood sugar,"['treatment', 'time', 'blood', 'increase', 'purify', 'consume', 'take', 'occur', 'monir', 'level', 'expensive', 'sugar', 'body']",['one'],['m'],[]
161,"monir is taking a blood purifying treatment which is expensive and time consuming.
which one may occur in monir's body?",increasing blood pressure in artery,161,"monir is taking a blood purifying treatment which is expensive and time consuming.
which one may occur in monir's body?",increasing blood pressure in artery,"['treatment', 'artery', 'time', 'blood', 'increase', 'consume', 'take', 'occur', 'monir', 'expensive', 'purify', 'body', 'pressure']",['one'],['m'],[]
162,"monir is taking a blood purifying treatment which is expensive and time consuming.
what is the function of glomerulus?",filtering of blood,162,"monir is taking a blood purifying treatment which is expensive and time consuming.
what is the function of glomerulus?",filtering of blood,"['treatment', 'time', 'filtering', 'blood', 'consume', 'take', 'monir', 'expensive', 'glomerulus', 'purify', 'function']",[],['m'],[]
162,"monir is taking a blood purifying treatment which is expensive and time consuming.
what is the function of glomerulus?",circulating the blood throught the kidney,162,"monir is taking a blood purifying treatment which is expensive and time consuming.
what is the function of glomerulus?",circulating the blood throught the kidney,"['treatment', 'circulate', 'time', 'blood', 'consume', 'take', 'throught', 'monir', 'expensive', 'glomerulus', 'purify', 'function', 'kidney']",[],['m'],[]
162,"monir is taking a blood purifying treatment which is expensive and time consuming.
what is the function of glomerulus?",carrying urine to the pelvis,162,"monir is taking a blood purifying treatment which is expensive and time consuming.
what is the function of glomerulus?",carrying urine to the pelvis,"['treatment', 'time', 'blood', 'consume', 'take', 'urine', 'pelvis', 'monir', 'carry', 'expensive', 'glomerulus', 'purify', 'function']",[],['m'],[]
162,"monir is taking a blood purifying treatment which is expensive and time consuming.
what is the function of glomerulus?",carrying blood to capsule,162,"monir is taking a blood purifying treatment which is expensive and time consuming.
what is the function of glomerulus?",carrying blood to capsule,"['treatment', 'time', 'blood', 'consume', 'take', 'monir', 'carry', 'expensive', 'glomerulus', 'purify', 'capsule', 'function']",[],['m'],[]
163,generally how many renal pyramids are present in medulla of kidney?,4-8,163,generally how many renal pyramids are present in medulla of kidney?,4-8,"['renal', 'present', 'pyramid', 'medulla', 'kidney']","['4', '8', '4-8']",['m'],[]
163,generally how many renal pyramids are present in medulla of kidney?,6-8,163,generally how many renal pyramids are present in medulla of kidney?,6-8,"['renal', 'present', 'pyramid', 'medulla', 'kidney']","['6', '8', '6-8']",['m'],[]
163,generally how many renal pyramids are present in medulla of kidney?,8-12,163,generally how many renal pyramids are present in medulla of kidney?,8-12,"['renal', 'present', 'pyramid', 'medulla', 'kidney']","['12', '8-12', '8']",['m'],[]
163,generally how many renal pyramids are present in medulla of kidney?,10-12,163,generally how many renal pyramids are present in medulla of kidney?,10-12,"['renal', 'present', 'pyramid', 'medulla', 'kidney']","['12', '10', '10-12']",['m'],[]
164,hgibiscus rosa-sinensis is scientific name of which plant?,rose,164,hgibiscus rosa-sinensis is scientific name of which plant?,rose,"['plant', 'rise', 'sinensis', 'scientific', 'rosa', 'hgibiscus']",[],['m'],[]
164,hgibiscus rosa-sinensis is scientific name of which plant?,jack fruit,164,hgibiscus rosa-sinensis is scientific name of which plant?,jack fruit,"['plant', 'sinensis', 'fruit', 'scientific', 'rosa', 'hgibiscus', 'jack']",[],['m'],[]
164,hgibiscus rosa-sinensis is scientific name of which plant?,china rose,164,hgibiscus rosa-sinensis is scientific name of which plant?,china rose,"['plant', 'rise', 'sinensis', 'china', 'scientific', 'rosa', 'hgibiscus']",[],['m'],[]
164,hgibiscus rosa-sinensis is scientific name of which plant?,mango,164,hgibiscus rosa-sinensis is scientific name of which plant?,mango,"['plant', 'sinensis', 'scientific', 'mango', 'rosa', 'hgibiscus']",[],['m'],[]
165,"applicable for papaya-
i. unisexual flower
ii. diecious plant
iii. sessile flower
which one is correct?",i and ii,165,"applicable for papaya-
i. unisexual flower
ii. diecious plant
iii. sessile flower
which one is correct?",i and ii,"['ii', 'iii', 'papaya-', '.', 'unisexual', 'i.', 'correct', 'flower', 'applicable', 'diecious', 'sessile', 'plant']",['one'],[],[]
165,"applicable for papaya-
i. unisexual flower
ii. diecious plant
iii. sessile flower
which one is correct?",i and iii,165,"applicable for papaya-
i. unisexual flower
ii. diecious plant
iii. sessile flower
which one is correct?",i and iii,"['ii', 'iii', 'papaya-', '.', 'unisexual', 'i.', 'correct', 'flower', 'applicable', 'diecious', 'sessile', 'plant']",['one'],[],[]
165,"applicable for papaya-
i. unisexual flower
ii. diecious plant
iii. sessile flower
which one is correct?",ii and iii,165,"applicable for papaya-
i. unisexual flower
ii. diecious plant
iii. sessile flower
which one is correct?",ii and iii,"['ii', 'iii', 'papaya-', '.', 'unisexual', 'i.', 'correct', 'flower', 'applicable', 'diecious', 'sessile', 'plant']",['one'],[],[]
165,"applicable for papaya-
i. unisexual flower
ii. diecious plant
iii. sessile flower
which one is correct?","i, ii and iii",165,"applicable for papaya-
i. unisexual flower
ii. diecious plant
iii. sessile flower
which one is correct?","i, ii and iii","['ii', 'iii', 'papaya-', '.', 'unisexual', 'i.', 'correct', 'flower', 'applicable', 'diecious', 'sessile', 'plant']",['one'],[],[]
166,in which flower of the following polyadelphous androcium present?,china rose,166,in which flower of the following polyadelphous androcium present?,china rose,"['present', 'flower', 'rise', 'polyadelphous', 'china', 'follow', 'androcium']",[],['m'],[]
166,in which flower of the following polyadelphous androcium present?,cotton tree,166,in which flower of the following polyadelphous androcium present?,cotton tree,"['present', 'flower', 'polyadelphous', 'cotton', 'tree', 'follow', 'androcium']",[],['m'],[]
166,in which flower of the following polyadelphous androcium present?,pea,166,in which flower of the following polyadelphous androcium present?,pea,"['present', 'flower', 'polyadelphous', 'follow', 'pea', 'androcium']",[],['m'],[]
166,in which flower of the following polyadelphous androcium present?,datura,166,in which flower of the following polyadelphous androcium present?,datura,"['present', 'flower', 'polyadelphous', 'datura', 'follow', 'androcium']",[],['m'],[]
167,which of the following external fertilization occurs?,shark,167,which of the following external fertilization occurs?,shark,"['external', 'occur', 'fertilization', 'shark', 'following']",[],[],[]
167,which of the following external fertilization occurs?,frog,167,which of the following external fertilization occurs?,frog,"['external', 'frog', 'occur', 'fertilization', 'following']",[],[],[]
167,which of the following external fertilization occurs?,bird,167,which of the following external fertilization occurs?,bird,"['external', 'occur', 'fertilization', 'bird', 'following']",[],[],[]
167,which of the following external fertilization occurs?,man,167,which of the following external fertilization occurs?,man,"['external', 'occur', 'fertilization', 'man', 'following']",[],['m'],[]
168,how many pairs of chromosome are present in human zygote?,21,168,how many pairs of chromosome are present in human zygote?,21,"['present', 'chromosome', 'pair', 'human', 'zygote']",['21'],['m'],[]
168,how many pairs of chromosome are present in human zygote?,22,168,how many pairs of chromosome are present in human zygote?,22,"['present', 'chromosome', 'pair', 'human', 'zygote']",['22'],['m'],[]
168,how many pairs of chromosome are present in human zygote?,23,168,how many pairs of chromosome are present in human zygote?,23,"['present', 'chromosome', 'pair', 'human', 'zygote']",['23'],['m'],[]
168,how many pairs of chromosome are present in human zygote?,24,168,how many pairs of chromosome are present in human zygote?,24,"['present', 'chromosome', 'pair', 'human', 'zygote']",['24'],['m'],[]
169,how many people are colour blind our of 100?,5,169,how many people are colour blind our of 100?,5,"['people', '?', 'blind']","['5', '100']",['m'],[]
169,how many people are colour blind our of 100?,10,169,how many people are colour blind our of 100?,10,"['people', 'blind']","['100? 10', '10', '100']",['m'],[]
169,how many people are colour blind our of 100?,15,169,how many people are colour blind our of 100?,15,"['people', '?', 'blind']","['15', '100']",['m'],[]
169,how many people are colour blind our of 100?,20,169,how many people are colour blind our of 100?,20,"['people', 'blind']","['100? 20', '100', '20']",['m'],[]
170,which one is a part of reproductive system?,testis,170,which one is a part of reproductive system?,testis,"['system', 'testis', 'reproductive']",['one'],['m'],['part of']
170,which one is a part of reproductive system?,urinary bladder,170,which one is a part of reproductive system?,urinary bladder,"['system', 'bladder', 'reproductive', 'urinary']",['one'],['m'],['part of']
170,which one is a part of reproductive system?,rectum,170,which one is a part of reproductive system?,rectum,"['system', 'rectum', 'reproductive']",['one'],['m'],['part of']
170,which one is a part of reproductive system?,pancreas,170,which one is a part of reproductive system?,pancreas,"['system', 'pancrea', 'reproductive']",['one'],['m'],['part of']
171,which is the function of centriole?,to develop astral rays,171,which is the function of centriole?,to develop astral rays,"['centriole', 'ray', 'astral', 'develop', 'function']",[],[],[]
171,which is the function of centriole?,to synthesis protein,171,which is the function of centriole?,to synthesis protein,"['protein', 'centriole', 'function', 'synthesis']",[],[],[]
171,which is the function of centriole?,to engult micro organisms,171,which is the function of centriole?,to engult micro organisms,"['centriole', 'organism', 'engult', 'micro', 'function']",[],['m'],[]
171,which is the function of centriole?,to produce energy,171,which is the function of centriole?,to produce energy,"['function', 'centriole', 'produce', 'energy']",[],[],[]
172,glycolysis happens on which part of cell?,golgi body,172,glycolysis happens on which part of cell?,golgi body,"['cell', 'glycolysis', 'golgi', 'body', 'happen']",[],[],['part of']
172,glycolysis happens on which part of cell?,mitochondria,172,glycolysis happens on which part of cell?,mitochondria,"['mitochondria', 'cell', 'happen', 'glycolysis']",[],['m'],['part of']
172,glycolysis happens on which part of cell?,nucleus,172,glycolysis happens on which part of cell?,nucleus,"['nucleus', 'cell', 'happen', 'glycolysis']",[],[],['part of']
172,glycolysis happens on which part of cell?,cytoplasm,172,glycolysis happens on which part of cell?,cytoplasm,"['cytoplasm', 'cell', 'happen', 'glycolysis']",[],['m'],['part of']
173,what amount of kilocalorie of energy is produce from the atp that released from 1 mole of glucose in anacrobic respiration?,12.6,173,what amount of kilocalorie of energy is produce from the atp that released from 1 mole of glucose in anacrobic respiration?,12.6,"['glucose', 'release', 'energy', 'mole', 'produce', 'atp', 'respiration', 'kilocalorie', 'anacrobic']","['1', '12.6']",['m'],[]
173,what amount of kilocalorie of energy is produce from the atp that released from 1 mole of glucose in anacrobic respiration?,14.6,173,what amount of kilocalorie of energy is produce from the atp that released from 1 mole of glucose in anacrobic respiration?,14.6,"['glucose', 'release', 'energy', 'mole', 'produce', 'atp', 'respiration', 'kilocalorie', 'anacrobic']","['1', '14.6']",['m'],[]
173,what amount of kilocalorie of energy is produce from the atp that released from 1 mole of glucose in anacrobic respiration?,16.6,173,what amount of kilocalorie of energy is produce from the atp that released from 1 mole of glucose in anacrobic respiration?,16.6,"['glucose', 'release', 'energy', 'mole', 'produce', 'atp', 'respiration', 'kilocalorie', 'anacrobic']","['1', '16.6']",['m'],[]
173,what amount of kilocalorie of energy is produce from the atp that released from 1 mole of glucose in anacrobic respiration?,18.6,173,what amount of kilocalorie of energy is produce from the atp that released from 1 mole of glucose in anacrobic respiration?,18.6,"['glucose', 'release', 'energy', 'mole', 'produce', 'atp', 'respiration', 'kilocalorie', 'anacrobic']","['1', '18.6']",['m'],[]
174,epipetalous androceium is found in which flower?,cotton tree,174,epipetalous androceium is found in which flower?,cotton tree,"['androceium', 'flower', 'tree', 'cotton', 'find', 'epipetalous']",[],['m'],[]
174,epipetalous androceium is found in which flower?,hibiscus,174,epipetalous androceium is found in which flower?,hibiscus,"['androceium', 'flower', 'hibiscus', 'find', 'epipetalous']",[],['m'],[]
174,epipetalous androceium is found in which flower?,bean,174,epipetalous androceium is found in which flower?,bean,"['androceium', 'flower', 'bean', 'find', 'epipetalous']",[],['m'],[]
174,epipetalous androceium is found in which flower?,datura,174,epipetalous androceium is found in which flower?,datura,"['androceium', 'flower', 'datura', 'find', 'epipetalous']",[],['m'],[]
175,which hormone creates womenish characteristics?,androgen,175,which hormone creates womenish characteristics?,androgen,"['create', 'androgen', 'womenish', 'hormone', 'characteristic']",[],['m'],[]
175,which hormone creates womenish characteristics?,testosterone,175,which hormone creates womenish characteristics?,testosterone,"['create', 'womenish', 'hormone', 'testosterone', 'characteristic']",[],['m'],[]
175,which hormone creates womenish characteristics?,estrogen,175,which hormone creates womenish characteristics?,estrogen,"['create', 'womenish', 'hormone', 'estrogen', 'characteristic']",[],['m'],[]
175,which hormone creates womenish characteristics?,thyroxine,175,which hormone creates womenish characteristics?,thyroxine,"['create', 'womenish', 'hormone', 'thyroxine', 'characteristic']",[],['m'],[]
176,pregnancy lasts up to how many weeks?,36-38,176,pregnancy lasts up to how many weeks?,36-38,"['pregnancy', 'last', 'week']","['36-38', '36', '38']",['m'],[]
176,pregnancy lasts up to how many weeks?,38-40,176,pregnancy lasts up to how many weeks?,38-40,"['pregnancy', 'last', 'week']","['38-40', '40', '38']",['m'],[]
176,pregnancy lasts up to how many weeks?,40-42,176,pregnancy lasts up to how many weeks?,40-42,"['pregnancy', 'last', 'week']","['40-42', '42', '40']",['m'],[]
176,pregnancy lasts up to how many weeks?,42-44,176,pregnancy lasts up to how many weeks?,42-44,"['pregnancy', 'last', 'week']","['42', '44', '42-44']",['m'],[]
177,where does the embryo implantation happen?,at placenta,177,where does the embryo implantation happen?,at placenta,"['embryo', 'placenta', 'implantation', 'happen']",[],['m'],[]
177,where does the embryo implantation happen?,at uterus,177,where does the embryo implantation happen?,at uterus,"['uterus', 'embryo', 'implantation', 'happen']",[],['m'],[]
177,where does the embryo implantation happen?,at ovary,177,where does the embryo implantation happen?,at ovary,"['embryo', 'implantation', 'ovary', 'happen']",[],['m'],[]
177,where does the embryo implantation happen?,at oviduct,177,where does the embryo implantation happen?,at oviduct,"['oviduct', 'embryo', 'implantation', 'happen']",[],['m'],[]
178,"after entrance of hiv in human, how many months it take to revealed the symptom?",2,178,"after entrance of hiv in human, how many months it take to revealed the symptom?",2,"['symptom', 'entrance', 'reveal', 'hiv', 'human', 'month']",['2'],['m'],[]
178,"after entrance of hiv in human, how many months it take to revealed the symptom?",4,178,"after entrance of hiv in human, how many months it take to revealed the symptom?",4,"['symptom', 'entrance', 'reveal', 'hiv', 'human', 'month']",['4'],['m'],[]
178,"after entrance of hiv in human, how many months it take to revealed the symptom?",6,178,"after entrance of hiv in human, how many months it take to revealed the symptom?",6,"['symptom', 'entrance', 'reveal', 'hiv', 'human', 'month']",['6'],['m'],[]
178,"after entrance of hiv in human, how many months it take to revealed the symptom?",8,178,"after entrance of hiv in human, how many months it take to revealed the symptom?",8,"['symptom', 'entrance', 'reveal', 'hiv', 'human', 'month']",['8'],['m'],[]
179,palash is very attractive flower with bright orange colour. what type of pollination happen to this flower?,air,179,palash is very attractive flower with bright orange colour. what type of pollination happen to this flower?,air,"['attractive', 'colour', 'flower', 'air', 'type', 'palash', 'orange', 'pollination', 'bright', 'happen']",[],[],['type of']
179,palash is very attractive flower with bright orange colour. what type of pollination happen to this flower?,water,179,palash is very attractive flower with bright orange colour. what type of pollination happen to this flower?,water,"['attractive', 'colour', 'flower', 'type', 'palash', 'orange', 'pollination', 'water', 'bright', 'happen']",[],[],['type of']
179,palash is very attractive flower with bright orange colour. what type of pollination happen to this flower?,insect,179,palash is very attractive flower with bright orange colour. what type of pollination happen to this flower?,insect,"['attractive', 'insect', 'colour', 'flower', 'type', 'palash', 'orange', 'pollination', 'bright', 'happen']",[],[],['type of']
179,palash is very attractive flower with bright orange colour. what type of pollination happen to this flower?,animal,179,palash is very attractive flower with bright orange colour. what type of pollination happen to this flower?,animal,"['attractive', 'animal', 'colour', 'flower', 'type', 'palash', 'orange', 'pollination', 'bright', 'happen']",[],['m'],['type of']
180,purine constitue of which bases?,adenine and cytosine,180,purine constitue of which bases?,adenine and cytosine,"['basis', 'adenine', 'cytosine', 'constitue', 'purine']",[],[],[]
180,purine constitue of which bases?,adenine and guanine,180,purine constitue of which bases?,adenine and guanine,"['basis', 'adenine', 'constitue', 'purine', 'guanine']",[],[],[]
180,purine constitue of which bases?,cytosine and guanine,180,purine constitue of which bases?,cytosine and guanine,"['basis', 'cytosine', 'constitue', 'purine', 'guanine']",[],[],[]
180,purine constitue of which bases?,guanine and thymine,180,purine constitue of which bases?,guanine and thymine,"['basis', 'thymine', 'constitue', 'purine', 'guanine']",[],['m'],[]
181,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
from whom gene rifat had the disease?",father,181,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
from whom gene rifat had the disease?",father,"['pale', 'ensure', 'medical', 'recessive', 'rafat', 'face', 'father', 'disease', 'disorder', 'examination', 'rifat', 'autosomal', 'gene', 'anaemia']",['first'],['m'],[]
181,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
from whom gene rifat had the disease?",grand father,181,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
from whom gene rifat had the disease?",grand father,"['pale', 'ensure', 'medical', 'recessive', 'rafat', 'grand', 'face', 'father', 'disease', 'disorder', 'examination', 'rifat', 'autosomal', 'gene', 'anaemia']",['first'],['m'],[]
181,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
from whom gene rifat had the disease?",mother,181,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
from whom gene rifat had the disease?",mother,"['pale', 'ensure', 'medical', 'recessive', 'rafat', 'face', 'disease', 'disorder', 'examination', 'rifat', 'autosomal', 'gene', 'anaemia', 'mother']",['first'],['m'],[]
181,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
from whom gene rifat had the disease?",father and mother both,181,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
from whom gene rifat had the disease?",father and mother both,"['pale', 'ensure', 'medical', 'recessive', 'rafat', 'face', 'father', 'disease', 'disorder', 'examination', 'rifat', 'autosomal', 'gene', 'anaemia', 'mother']",['first'],['m'],[]
182,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
in this disease-
i. white blood cell disintegrate
ii. eating banana is harmful
iii. need blood transfusion around the year
which one is correct?",i,182,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
in this disease-
i. white blood cell disintegrate
ii. eating banana is harmful
iii. need blood transfusion around the year
which one is correct?",i,"['pale', 'ii', 'banana', 'cell', 'eat', 'ensure', 'need', '.', 'blood', 'correct', 'face', 'disorder', 'examination', 'disintegrate', 'disease-', 'harmful', 'autosomal', 'iii', 'white', 'transfusion', 'medical', 'recessive', 'rafat', 'i.', 'year', 'anaemia']","['first', 'one']",['m'],[]
182,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
in this disease-
i. white blood cell disintegrate
ii. eating banana is harmful
iii. need blood transfusion around the year
which one is correct?",ii,182,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
in this disease-
i. white blood cell disintegrate
ii. eating banana is harmful
iii. need blood transfusion around the year
which one is correct?",ii,"['pale', 'ii', 'banana', 'cell', 'eat', 'ensure', 'need', '.', 'blood', 'correct', 'face', 'disorder', 'examination', 'disintegrate', 'disease-', 'harmful', 'autosomal', 'iii', 'white', 'transfusion', 'medical', 'recessive', 'rafat', 'i.', 'year', 'anaemia']","['first', 'one']",['m'],[]
182,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
in this disease-
i. white blood cell disintegrate
ii. eating banana is harmful
iii. need blood transfusion around the year
which one is correct?",i and ii,182,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
in this disease-
i. white blood cell disintegrate
ii. eating banana is harmful
iii. need blood transfusion around the year
which one is correct?",i and ii,"['pale', 'ii', 'banana', 'cell', 'eat', 'ensure', 'need', '.', 'blood', 'correct', 'face', 'disorder', 'examination', 'disintegrate', 'disease-', 'harmful', 'autosomal', 'iii', 'white', 'transfusion', 'medical', 'recessive', 'rafat', 'i.', 'year', 'anaemia']","['first', 'one']",['m'],[]
182,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
in this disease-
i. white blood cell disintegrate
ii. eating banana is harmful
iii. need blood transfusion around the year
which one is correct?",ii and iii,182,"rafat's face become pale sometimes. at first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
in this disease-
i. white blood cell disintegrate
ii. eating banana is harmful
iii. need blood transfusion around the year
which one is correct?",ii and iii,"['pale', 'ii', 'banana', 'cell', 'eat', 'ensure', 'need', '.', 'blood', 'correct', 'face', 'disorder', 'examination', 'disintegrate', 'disease-', 'harmful', 'autosomal', 'iii', 'white', 'transfusion', 'medical', 'recessive', 'rafat', 'i.', 'year', 'anaemia']","['first', 'one']",['m'],[]
183,"what type of struggle found between tiger and deer?
i. inter specific struggle
ii. intra specific struggle
iii. struggle with environment
which one is correct?",i,183,"what type of struggle found between tiger and deer?
i. inter specific struggle
ii. intra specific struggle
iii. struggle with environment
which one is correct?",i,"['ii', 'iii', 'struggle', 'intra', '.', 'inter', 'environment', 'i.', 'tiger', 'correct', 'i. inter', 'type', 'deer', 'find', 'specific']",['one'],['m'],['type of']
183,"what type of struggle found between tiger and deer?
i. inter specific struggle
ii. intra specific struggle
iii. struggle with environment
which one is correct?",ii,183,"what type of struggle found between tiger and deer?
i. inter specific struggle
ii. intra specific struggle
iii. struggle with environment
which one is correct?",ii,"['ii', 'iii', 'struggle', 'intra', '.', 'inter', 'environment', 'i.', 'tiger', 'correct', 'i. inter', 'type', 'deer', 'find', 'specific']",['one'],['m'],['type of']
183,"what type of struggle found between tiger and deer?
i. inter specific struggle
ii. intra specific struggle
iii. struggle with environment
which one is correct?",i and ii,183,"what type of struggle found between tiger and deer?
i. inter specific struggle
ii. intra specific struggle
iii. struggle with environment
which one is correct?",i and ii,"['ii', 'iii', 'struggle', 'intra', '.', 'inter', 'environment', 'i.', 'tiger', 'correct', 'i. inter', 'type', 'deer', 'find', 'specific']",['one'],['m'],['type of']
183,"what type of struggle found between tiger and deer?
i. inter specific struggle
ii. intra specific struggle
iii. struggle with environment
which one is correct?",ii and iii,183,"what type of struggle found between tiger and deer?
i. inter specific struggle
ii. intra specific struggle
iii. struggle with environment
which one is correct?",ii and iii,"['ii', 'iii', 'struggle', 'intra', '.', 'inter', 'environment', 'i.', 'tiger', 'correct', 'i. inter', 'type', 'deer', 'find', 'specific']",['one'],['m'],['type of']
184,which one of the bellow help to maintain connection with adjacent cells?,protoplasm,184,which one of the bellow help to maintain connection with adjacent cells?,protoplasm,"['connection', 'adjacent', 'cell', 'protoplasm', 'help', 'maintain', 'bellow']",['one'],['m'],[]
184,which one of the bellow help to maintain connection with adjacent cells?,nuclear membrane,184,which one of the bellow help to maintain connection with adjacent cells?,nuclear membrane,"['maintain', 'cell', 'membrane', 'nuclear', 'connection', 'adjacent', 'help', 'bellow']",['one'],['m'],[]
184,which one of the bellow help to maintain connection with adjacent cells?,microvilli,184,which one of the bellow help to maintain connection with adjacent cells?,microvilli,"['connection', 'adjacent', 'cell', 'microvilli', 'help', 'maintain', 'bellow']",['one'],['m'],[]
184,which one of the bellow help to maintain connection with adjacent cells?,plasmodesmata,184,which one of the bellow help to maintain connection with adjacent cells?,plasmodesmata,"['connection', 'adjacent', 'cell', 'bellow', 'help', 'maintain', 'plasmodesmata']",['one'],['m'],[]
185,which one give rigidity to gourd?,parenchyma,185,which one give rigidity to gourd?,parenchyma,"['gourd', 'rigidity', 'parenchyma']",['one'],['m'],[]
185,which one give rigidity to gourd?,collenchyma,185,which one give rigidity to gourd?,collenchyma,"['gourd', 'rigidity', 'collenchyma']",['one'],['m'],[]
185,which one give rigidity to gourd?,fiber,185,which one give rigidity to gourd?,fiber,"['gourd', 'rigidity', 'fiber']",['one'],[],[]
185,which one give rigidity to gourd?,scleroids,185,which one give rigidity to gourd?,scleroids,"['scleroid', 'gourd', 'rigidity']",['one'],[],[]
186,our integument is example of which kind of epithelial tissue?,squamous,186,our integument is example of which kind of epithelial tissue?,squamous,"['kind', 'epithelial', 'squamous', 'integument', 'tissue', 'example']",[],['m'],[]
186,our integument is example of which kind of epithelial tissue?,cuboidal,186,our integument is example of which kind of epithelial tissue?,cuboidal,"['cuboidal', 'kind', 'epithelial', 'integument', 'tissue', 'example']",[],['m'],[]
186,our integument is example of which kind of epithelial tissue?,stratified,186,our integument is example of which kind of epithelial tissue?,stratified,"['kind', 'epithelial', 'integument', 'tissue', 'example', 'stratify']",[],['m'],[]
186,our integument is example of which kind of epithelial tissue?,pscudo-stratified,186,our integument is example of which kind of epithelial tissue?,pscudo-stratified,"['pscudo', 'stratified', 'kind', 'epithelial', 'integument', 'tissue', 'example']",[],['m'],[]
187,how many types of fluid connective tissue?,2,187,how many types of fluid connective tissue?,2,"['tissue', 'type', 'fluid', 'connective']",['2'],['m'],[]
187,how many types of fluid connective tissue?,3,187,how many types of fluid connective tissue?,3,"['tissue', 'type', 'fluid', 'connective']",['3'],['m'],[]
187,how many types of fluid connective tissue?,4,187,how many types of fluid connective tissue?,4,"['tissue', 'type', 'fluid', 'connective']",['4'],['m'],[]
187,how many types of fluid connective tissue?,5,187,how many types of fluid connective tissue?,5,"['tissue', 'type', 'fluid', 'connective']",['5'],['m'],[]
188,which one is correct for the young leaves of jackfruit tree?,has a higher photosynthetic rate,188,which one is correct for the young leaves of jackfruit tree?,has a higher photosynthetic rate,"['jackfruit', 'high', 'leave', 'young', 'correct', 'tree', 'rate', 'photosynthetic']",['one'],[],[]
188,which one is correct for the young leaves of jackfruit tree?,has higher repsiration rate,188,which one is correct for the young leaves of jackfruit tree?,has higher repsiration rate,"['repsiration', 'jackfruit', 'high', 'leave', 'young', 'correct', 'tree', 'rate']",['one'],[],[]
188,which one is correct for the young leaves of jackfruit tree?,lower amount of liquid part,188,which one is correct for the young leaves of jackfruit tree?,lower amount of liquid part,"['liquid', 'tree', 'jackfruit', 'low', 'leave', 'young', 'correct']",['one'],['m'],[]
188,which one is correct for the young leaves of jackfruit tree?,has higher amount of plastid,188,which one is correct for the young leaves of jackfruit tree?,has higher amount of plastid,"['tree', 'jackfruit', 'plastid', 'high', 'leave', 'young', 'correct']",['one'],['m'],[]
189,"which one being reduced in light independent phase, produce carbohydrate?",o_{2},189,"which one being reduced in light independent phase, produce carbohydrate?",o_{2},"['phase', 'carbohydrate', 'light', 'independent', 'o_{2', 'reduce', 'produce']",['one'],[],[]
189,"which one being reduced in light independent phase, produce carbohydrate?",h_{2}o,189,"which one being reduced in light independent phase, produce carbohydrate?",h_{2}o,"['phase', 'h_{2}o', 'carbohydrate', 'light', 'independent', 'reduce', 'produce']",['one'],[],[]
189,"which one being reduced in light independent phase, produce carbohydrate?",nadph,189,"which one being reduced in light independent phase, produce carbohydrate?",nadph,"['phase', 'nadph', 'carbohydrate', 'light', 'independent', 'reduce', 'produce']",['one'],[],[]
